epoch,global_step,train_loss,val_loss,val_ppl,lr,vram_gb,timestamp
1,1,1.900311,,,3.333e-05,4.96,2026-04-28 07:59:54
1,2,2.59125,,,6.667e-05,4.96,2026-04-28 08:02:35
1,3,2.215065,,,0.0001,4.96,2026-04-28 08:04:26
1,4,2.065158,,,0.00013333,4.96,2026-04-28 08:06:16
1,5,1.858281,,,0.00016667,4.96,2026-04-28 08:08:56
1,6,1.827364,,,0.0002,5.32,2026-04-28 08:11:37
1,7,1.615899,,,0.00019999,4.96,2026-04-28 08:13:39
1,8,1.65453,,,0.00019995,4.96,2026-04-28 08:14:41
1,9,1.679517,,,0.00019988,4.96,2026-04-28 08:16:42
1,10,1.743433,,,0.00019979,4.96,2026-04-28 08:19:31
1,10,1.743433,1.401259,4.0603,0.00019979,4.96,2026-04-28 08:33:15
1,11,1.677154,1.401259,4.0603,0.00019967,5.31,2026-04-28 08:35:56
1,12,1.692176,1.401259,4.0603,0.00019953,4.96,2026-04-28 08:37:59
1,13,1.755328,1.401259,4.0603,0.00019936,4.96,2026-04-28 08:40:37
1,14,1.642479,1.401259,4.0603,0.00019916,4.96,2026-04-28 08:42:31
1,15,1.593011,1.401259,4.0603,0.00019894,5.31,2026-04-28 08:45:22
1,16,1.597271,1.401259,4.0603,0.00019869,4.96,2026-04-28 08:47:12
1,17,1.515109,1.401259,4.0603,0.00019842,5.03,2026-04-28 08:49:14
1,18,1.565266,1.401259,4.0603,0.00019812,4.96,2026-04-28 08:50:16
1,19,1.567973,1.401259,4.0603,0.00019779,5.31,2026-04-28 08:52:56
1,20,1.541558,1.401259,4.0603,0.00019744,4.96,2026-04-28 08:55:40
1,20,1.541558,1.067023,2.9067,0.00019744,4.96,2026-04-28 09:09:23
1,21,1.477054,1.067023,2.9067,0.00019706,5.31,2026-04-28 09:12:53
1,22,1.451512,1.067023,2.9067,0.00019666,5.03,2026-04-28 09:15:44
1,23,1.441463,1.067023,2.9067,0.00019623,5.33,2026-04-28 09:18:29
1,24,1.419849,1.067023,2.9067,0.00019578,5.31,2026-04-28 09:20:32
1,25,1.395522,1.067023,2.9067,0.0001953,5.03,2026-04-28 09:22:35
1,26,1.402934,1.067023,2.9067,0.0001948,4.96,2026-04-28 09:23:37
1,27,1.363962,1.067023,2.9067,0.00019427,4.96,2026-04-28 09:25:26
1,28,1.358892,1.067023,2.9067,0.00019372,4.96,2026-04-28 09:27:29
1,29,1.36227,1.067023,2.9067,0.00019314,4.96,2026-04-28 09:29:26
1,30,1.333783,1.067023,2.9067,0.00019254,5.31,2026-04-28 09:32:07
1,30,1.333783,0.907857,2.479,0.00019254,5.31,2026-04-28 09:45:48
1,31,1.30656,0.907857,2.479,0.00019192,5.03,2026-04-28 09:48:41
1,32,1.295849,0.907857,2.479,0.00019127,4.96,2026-04-28 09:50:33
1,33,1.320625,0.907857,2.479,0.00019059,4.96,2026-04-28 09:52:23
1,34,1.308415,0.907857,2.479,0.0001899,4.96,2026-04-28 09:55:03
1,35,1.294773,0.907857,2.479,0.00018917,5.31,2026-04-28 09:57:45
1,36,1.279809,0.907857,2.479,0.00018843,4.96,2026-04-28 09:59:35
1,37,1.277721,0.907857,2.479,0.00018766,5.31,2026-04-28 10:01:29
1,38,1.254573,0.907857,2.479,0.00018687,5.31,2026-04-28 10:03:42
1,39,1.240466,0.907857,2.479,0.00018606,5.31,2026-04-28 10:07:12
1,40,1.23186,0.907857,2.479,0.00018522,5.31,2026-04-28 10:10:43
1,40,1.23186,0.766001,2.1511,0.00018522,5.31,2026-04-28 10:24:09
1,41,1.204354,0.766001,2.1511,0.00018436,4.96,2026-04-28 10:26:00
1,42,1.198423,0.766001,2.1511,0.00018348,4.96,2026-04-28 10:27:50
1,43,1.193323,0.766001,2.1511,0.00018258,5.32,2026-04-28 10:31:09
1,44,1.180751,0.766001,2.1511,0.00018166,4.96,2026-04-28 10:33:50
1,45,1.175283,0.766001,2.1511,0.00018071,5.31,2026-04-28 10:36:30
1,46,1.190156,0.766001,2.1511,0.00017974,4.96,2026-04-28 10:39:09
1,47,1.186601,0.766001,2.1511,0.00017876,4.96,2026-04-28 10:40:58
1,48,1.173141,0.766001,2.1511,0.00017775,5.31,2026-04-28 10:42:48
1,49,1.166794,0.766001,2.1511,0.00017672,4.96,2026-04-28 10:44:10
1,50,1.166993,0.766001,2.1511,0.00017567,5.32,2026-04-28 10:46:45
1,50,1.166993,0.828738,2.2904,0.00017567,5.32,2026-04-28 11:00:12
1,51,1.160827,0.828738,2.2904,0.0001746,4.96,2026-04-28 11:02:13
1,52,1.159543,0.828738,2.2904,0.00017351,4.96,2026-04-28 11:04:15
1,53,1.14546,0.828738,2.2904,0.00017241,5.31,2026-04-28 11:06:07
1,54,1.130771,0.828738,2.2904,0.00017128,4.96,2026-04-28 11:07:57
1,55,1.126557,0.828738,2.2904,0.00017014,4.96,2026-04-28 11:09:06
1,56,1.12394,0.828738,2.2904,0.00016897,5.33,2026-04-28 11:12:40
1,57,1.111226,0.828738,2.2904,0.00016779,4.96,2026-04-28 11:13:42
1,58,1.106237,0.828738,2.2904,0.00016659,5.31,2026-04-28 11:17:11
1,59,1.10511,0.828738,2.2904,0.00016537,4.96,2026-04-28 11:19:00
1,60,1.104005,0.828738,2.2904,0.00016414,4.96,2026-04-28 11:21:42
1,60,1.104005,0.701914,2.0176,0.00016414,4.96,2026-04-28 11:35:08
1,61,1.100357,0.701914,2.0176,0.00016289,5.31,2026-04-28 11:36:59
1,62,1.090497,0.701914,2.0176,0.00016162,5.31,2026-04-28 11:40:29
1,63,1.076071,0.701914,2.0176,0.00016034,5.03,2026-04-28 11:43:18
1,64,1.06465,0.701914,2.0176,0.00015904,5.31,2026-04-28 11:45:30
1,65,1.0584,0.701914,2.0176,0.00015773,4.96,2026-04-28 11:47:19
1,66,1.045746,0.701914,2.0176,0.0001564,4.96,2026-04-28 11:50:52
1,67,1.035365,0.701914,2.0176,0.00015505,5.32,2026-04-28 11:52:52
1,68,1.02855,0.701914,2.0176,0.00015369,5.31,2026-04-28 11:55:42
1,69,1.023364,0.701914,2.0176,0.00015232,5.03,2026-04-28 11:58:32
1,70,1.01958,0.701914,2.0176,0.00015093,5.31,2026-04-28 12:00:44
1,70,1.01958,0.679729,1.9733,0.00015093,5.31,2026-04-28 12:14:13
1,71,1.009355,0.679729,1.9733,0.00014953,4.96,2026-04-28 12:16:54
1,72,1.005667,0.679729,1.9733,0.00014812,5.31,2026-04-28 12:18:49
1,73,0.997538,0.679729,1.9733,0.00014669,4.96,2026-04-28 12:20:00
1,74,0.994906,0.679729,1.9733,0.00014525,4.96,2026-04-28 12:22:42
1,75,0.98699,0.679729,1.9733,0.0001438,5.03,2026-04-28 12:25:32
1,76,0.977387,0.679729,1.9733,0.00014234,5.31,2026-04-28 12:29:05
1,77,0.968729,0.679729,1.9733,0.00014087,4.96,2026-04-28 12:30:07
1,78,0.970738,0.679729,1.9733,0.00013939,4.96,2026-04-28 12:31:58
1,79,0.967522,0.679729,1.9733,0.00013789,5.31,2026-04-28 12:33:50
1,80,0.968842,0.679729,1.9733,0.00013639,4.96,2026-04-28 12:35:42
1,80,0.968842,0.679667,1.9732,0.00013639,4.96,2026-04-28 12:49:02
1,81,0.967798,0.679667,1.9732,0.00013488,4.96,2026-04-28 12:51:35
1,82,0.960842,0.679667,1.9732,0.00013336,4.96,2026-04-28 12:52:46
1,83,0.959833,0.679667,1.9732,0.00013182,4.96,2026-04-28 12:53:59
1,84,0.953729,0.679667,1.9732,0.00013029,4.96,2026-04-28 12:56:39
1,85,0.948422,0.679667,1.9732,0.00012874,5.31,2026-04-28 12:59:31
1,86,0.945459,0.679667,1.9732,0.00012718,5.31,2026-04-28 13:03:01
1,87,0.945224,0.679667,1.9732,0.00012562,4.96,2026-04-28 13:04:01
1,88,0.945452,0.679667,1.9732,0.00012405,5.31,2026-04-28 13:05:49
1,89,0.952697,0.679667,1.9732,0.00012248,4.96,2026-04-28 13:07:02
1,90,0.952271,0.679667,1.9732,0.0001209,4.96,2026-04-28 13:09:21
1,90,0.952271,0.596636,1.816,0.0001209,4.96,2026-04-28 13:23:02
1,91,0.945398,0.596636,1.816,0.00011931,4.96,2026-04-28 13:25:43
1,92,0.940575,0.596636,1.816,0.00011772,4.96,2026-04-28 13:28:22
1,93,0.932468,0.596636,1.816,0.00011612,5.31,2026-04-28 13:31:00
1,94,0.933582,0.596636,1.816,0.00011452,4.97,2026-04-28 13:32:54
1,95,0.935301,0.596636,1.816,0.00011292,4.96,2026-04-28 13:34:45
1,96,0.932769,0.596636,1.816,0.00011131,4.96,2026-04-28 13:35:58
1,97,0.930386,0.596636,1.816,0.0001097,5.32,2026-04-28 13:38:53
1,98,0.926821,0.596636,1.816,0.00010809,4.96,2026-04-28 13:41:35
1,99,0.922878,0.596636,1.816,0.00010647,5.32,2026-04-28 13:44:26
1,100,0.919147,0.596636,1.816,0.00010486,4.96,2026-04-28 13:46:16
1,100,0.919147,0.601727,1.8253,0.00010486,4.96,2026-04-28 13:59:54
1,101,0.913429,0.601727,1.8253,0.00010324,4.96,2026-04-28 14:01:42
1,102,0.913079,0.601727,1.8253,0.00010162,4.96,2026-04-28 14:03:31
1,103,0.908158,0.601727,1.8253,0.0001,4.96,2026-04-28 14:05:20
1,104,0.908016,0.601727,1.8253,9.838e-05,5.31,2026-04-28 14:07:59
1,105,0.904653,0.601727,1.8253,9.676e-05,4.96,2026-04-28 14:10:38
1,106,0.898975,0.601727,1.8253,9.514e-05,5.31,2026-04-28 14:13:21
1,107,0.897275,0.601727,1.8253,9.353e-05,5.03,2026-04-28 14:14:33
1,108,0.895732,0.601727,1.8253,9.191e-05,5.32,2026-04-28 14:16:23
1,109,0.893848,0.601727,1.8253,9.03e-05,4.96,2026-04-28 14:18:12
1,110,0.888092,0.601727,1.8253,8.869e-05,5.31,2026-04-28 14:20:00
1,110,0.888092,0.573225,1.774,8.869e-05,5.31,2026-04-28 14:33:38
